Station_Id_C Year_Data Mon_Data Day_Data Hour_Data TEM PRE_1h
45007 2017 10 13 13 15.8000 999999.0000 
45007 2017 10 13 14 15.6000 999999.0000 
45007 2017 10 13 15 25.6000 999999.0000 
45007 2017 10 13 15 15.0000 999999.0000 
45007 2017 10 13 16 14.8000 999999.0000 
45007 2017 10 13 17 15.0000 999999.0000 
45007 2017 10 13 18 26.1000 999999.0000 
45007 2017 10 13 18 15.5000 999999.0000 
45007 2017 10 13 19 15.5000 999999.0000 
45007 2017 10 13 20 15.9000 999999.0000 
45007 2017 10 13 21 16.1000 999999.0000 
45007 2017 10 13 21 24.7000 999999.0000 
45007 2017 10 13 22 16.8000 999999.0000 
45007 2017 10 13 23 16.9000 999999.0000 
45007 2017 10 14 0 17.1000 999999.0000 
45007 2017 10 14 0 24.2000 999999.0000 
45007 2017 10 14 1 17.3000 999999.0000 
45007 2017 10 14 2 17.0000 999999.0000 
45007 2017 10 14 3 25.5000 999999.0000 
45007 2017 10 14 3 16.6000 999999.0000 
45007 2017 10 14 4 16.1000 999999.0000 
45007 2017 10 14 5 16.0000 999999.0000 
45007 2017 10 14 6 16.3000 999999.0000 
45007 2017 10 14 6 26.0000 999999.0000 
45007 2017 10 14 7 16.5000 999999.0000 
45007 2017 10 14 8 16.5000 999999.0000 
45007 2017 10 14 9 16.3000 999999.0000 
45007 2017 10 14 9 25.2000 999999.0000 
45007 2017 10 14 10 16.1000 999999.0000 
45007 2017 10 14 11 16.2000 999999.0000 
45007 2017 10 14 12 16.3000 999999.0000 
45007 2017 10 14 12 24.8000 999999.0000 
45007 2017 10 14 13 16.6000 999999.0000 
45007 2017 10 14 14 16.7000 999999.0000 
45007 2017 10 14 15 16.5000 999999.0000 
45007 2017 10 14 15 23.9000 999999.0000 
45007 2017 10 14 16 16.7000 999999.0000 
45007 2017 10 14 17 16.8000 999999.0000 
45007 2017 10 14 18 16.8000 999999.0000 
45007 2017 10 14 18 22.5000 999999.0000 
45007 2017 10 14 19 16.7000 999999.0000 
45007 2017 10 14 20 17.0000 999999.0000 
45007 2017 10 14 21 21.4000 999999.0000 
45007 2017 10 14 21 17.1000 999999.0000 
45007 2017 10 14 22 17.2000 999999.0000 
45007 2017 10 14 23 17.5000 999999.0000 
45007 2017 10 15 0 17.9000 999999.0000 
45007 2017 10 15 0 21.1000 999999.0000 
45007 2017 10 15 1 21.2000 999999.0000 
45007 2017 10 15 1 17.8000 999999.0000 
45007 2017 10 15 2 21.9000 999999.0000 
45007 2017 10 15 2 18.0000 999999.0000 
45007 2017 10 15 3 17.7000 999999.0000 
45007 2017 10 15 3 22.6000 999999.0000 
45007 2017 10 15 4 18.2000 999999.0000 
45007 2017 10 15 5 22.3000 999999.0000 
45007 2017 10 15 5 18.6000 999999.0000 
45007 2017 10 15 6 18.2000 999999.0000 
45007 2017 10 15 6 22.1000 999999.0000 
45007 2017 10 15 7 18.7000 999999.0000 
45007 2017 10 15 8 23.0000 999999.0000 
45007 2017 10 15 8 19.1000 999999.0000 
45007 2017 10 15 9 18.7000 999999.0000 
45007 2017 10 15 9 22.0000 999999.0000 
45007 2017 10 15 10 22.4000 999999.0000 
45007 2017 10 15 10 18.6000 999999.0000 
45007 2017 10 15 11 18.5000 999999.0000 
45007 2017 10 15 12 27.4000 999999.0000 
45007 2017 10 15 12 17.8000 999999.0000 
45007 2017 10 15 13 15.0000 999999.0000 
45007 2017 10 15 14 14.8000 999999.0000 
45007 2017 10 15 15 26.7000 999999.0000 
45007 2017 10 15 15 12.8000 999999.0000 
45007 2017 10 15 16 12.4000 999999.0000 
45007 2017 10 15 17 12.3000 999999.0000 
45007 2017 10 15 18 12.1000 999999.0000 
45007 2017 10 15 18 27.5000 999999.0000 
45007 2017 10 15 19 12.0000 999999.0000 
45007 2017 10 15 20 12.0000 999999.0000 
45007 2017 10 15 21 12.5000 999999.0000 
45007 2017 10 15 21 27.7000 999999.0000 
45007 2017 10 15 22 12.7000 999999.0000 
45007 2017 10 15 23 12.8000 999999.0000 
45007 2017 10 16 0 12.8000 999999.0000 
45007 2017 10 16 0 28.3000 999999.0000 
45007 2017 10 16 1 12.6000 999999.0000 
45007 2017 10 16 2 11.5000 999999.0000 
45007 2017 10 16 3 30.4000 999999.0000 
45007 2017 10 16 3 12.1000 999999.0000 
45007 2017 10 16 4 11.7000 999999.0000 
45007 2017 10 16 5 11.5000 999999.0000 
45007 2017 10 16 6 11.3000 999999.0000 
45007 2017 10 16 6 28.6000 999999.0000 
45007 2017 10 16 7 11.1000 999999.0000 
45007 2017 10 16 8 11.2000 999999.0000 
45007 2017 10 16 9 26.6000 999999.0000 
45007 2017 10 16 9 11.2000 999999.0000 
45007 2017 10 16 10 11.1000 999999.0000 
45007 2017 10 16 11 11.4000 999999.0000 
45007 2017 10 16 12 11.2000 999999.0000 
45007 2017 10 16 12 26.6000 999999.0000 
45007 2017 10 16 13 11.4000 999999.0000 
45007 2017 10 16 14 11.4000 999999.0000 
45007 2017 10 16 15 25.3000 999999.0000 
45007 2017 10 16 15 11.6000 999999.0000 
45007 2017 10 16 16 11.6000 999999.0000 
45007 2017 10 16 17 11.8000 999999.0000 
45007 2017 10 16 18 12.2000 999999.0000 
45007 2017 10 16 18 23.3000 999999.0000 
45007 2017 10 16 19 12.7000 999999.0000 
45007 2017 10 16 20 13.0000 999999.0000 
45007 2017 10 16 21 13.8000 999999.0000 
45007 2017 10 16 21 22.8000 999999.0000 
45007 2017 10 16 22 14.5000 999999.0000 
45007 2017 10 16 23 14.7000 999999.0000 
45007 2017 10 17 0 15.3000 999999.0000 
45007 2017 10 17 0 23.5000 999999.0000 
45007 2017 10 17 1 15.6000 999999.0000 
45007 2017 10 17 2 15.7000 999999.0000 
